% Device,CC1604004
% File name,CC1604004_20161012_105024
% Cast time (UTC),2016-10-12 10:50:24
% Cast time (local),2016-10-12 10:50:24
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,45
% Default altitude,0
% Start latitude,44.7161038
% Start longitude,-66.7288977
% Start altitude,-5.9600000381469727
% Start GPS horizontal error(Meter),4.320000171661377
% Start GPS vertical error(Meter),9.2200002670288086
% Start GPS number of satellites,5
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),87
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2016-02-18
% Temperature calibration date,2016-02-16
% Pressure calibration date,2016-01-21
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
78.2,-0.030270848955426644,12.483674049377441,1768.3787841796875
78.4,-0.023604529244559913,12.470294952392578,1468.269775390625
78.6,-0.025804519653320312,12.45686149597168,1401.3028564453125
78.8,-0.028334481375557274,12.447558403015137,1438.6368408203125
79,-0.028236116681780388,12.435094833374023,1396.1005859375
79.2,-0.026495524815150162,12.421474456787109,1271.126220703125
79.4,-0.029024532863072494,12.412630081176758,1241.2547607421875
79.6,-0.025970731462750862,12.400313377380371,1175.08447265625
79.8,-0.027514593941825538,12.392108917236328,1149.4434814453125
80,-0.029057502746582031,12.383437156677246,1103.439453125
80.2,-0.023704392569404931,12.370738983154297,1002.3544311523438
80.4,-0.026561464582171013,12.351293563842773,968.3231201171875
80.6,-0.02580697195870485,12.335416793823242,984.7864990234375
80.8,-0.022096088954381088,12.316514015197754,916.141845703125
81,-0.024953160967145394,12.297501564025879,878.99945068359375
81.2,-0.026168005807059913,12.283307075500488,884.3389892578125
81.4,-0.026727676391601562,12.258777618408203,903.6246337890625
81.6,-0.0266293116978229,12.212584495544434,859.15093994140625
81.8,-0.026202883039202263,12.157635688781738,790.21417236328125
82,-0.026430674961634537,12.104567527770996,745.3079833984375
82.2,-0.026662281581334213,12.063695907592773,721.30743408203125
82.4,-0.023607526506696175,12.039923667907715,680.560546875
82.6,-0.025808470589774757,12.027719497680664,665.11590576171875
82.8,-0.0263671875,12.024450302124023,685.0482177734375
83,-0.022984368460518212,12.019704818725586,765.181396484375
83.2,-0.023215021405901481,12.001850128173828,752.33154296875
83.4,-0.0204892839704236,11.989282608032227,659.11199951171875
83.6,-0.016123226710728744,11.984491348266602,598.03240966796875
83.8,-0.019310270036969612,11.973882675170898,568.37030029296875
84,-0.0178958347865521,11.963113784790039,549.81378173828125
84.2,-0.01812744140625,11.949951171875,540.22509765625
84.4,-0.019341332571846337,11.946477890014648,530.56195068359375
84.6,-0.013003076825823356,11.945058822631836,519.08624267578125
84.8,-0.0056796755109509434,11.944769859313965,515.65655517578125
85,-0.012807301112584213,11.943944931030273,512.391845703125
85.2,-0.013364110674176644,11.943523406982422,510.65560913085938
85.4,-0.016551154000419288,11.941558837890625,510.36416625976562
85.6,-0.013823509216308594,11.937776565551758,510.38104248046875
85.8,-0.017337662833076806,11.929094314575195,515.2828369140625
86,-0.0087020056588311689,11.908169746398926,573.525146484375
86.2,-0.0076175417218884434,11.888106346130371,592.58709716796875
86.4,-0.0039057050432482754,11.872753143310547,540.869384765625
86.6,-0.0024960381644110186,11.858087539672852,568.21954345703125
86.8,-0.0033818653651653818,11.841573715209961,629.178955078125
87,0,11.826940536499023,642.53240966796875
